CMDECOD,CMCAT,CMSCAT
PEGFILGRASTIM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PERCOCET-5,MEDICATION OTHER THAN THERAPY,ANALGESIC
PERI-COLACE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PERINDOPRIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PERINDOPRIL ERBUMINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PETHIDINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
PHENAZOPYRIDINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHENOBARBITAL,MEDICATION OTHER THAN THERAPY,ANALGESIC
PHENOBARBITAL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHENOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHENOLPHTHALEIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHENOTHIAZINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHLOROGLUCINOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHTHALYLSULFATHIAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PHYTOMENADIONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIOGLITAZONE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIP/TAZO,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIPEMIDIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIPERACILLIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIPERACILLIN SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIRACETAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIRITRAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PIROXICAM BETADEX,MEDICATION OTHER THAN THERAPY,ANALGESIC
PLASMA,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PLATELETS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POLYCARBOPHIL CALCIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POLYGELINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POLYSPORIN STERILE OPHTHALMIC,MEDICATION OTHER THAN THERAPY,ANALGESIC
POTASSIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POTASSIUM CANRENOATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POTASSIUM CHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POTASSIUM CITRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POTASSIUM GLUCONATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
POVIDONE-IODINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRAMIPEXOLE DIHYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRAVASTATIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRAVASTATIN SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PREDNISOLONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PREDNISOLONE SODIUM SULFOBENZOATE,MEDICATION OTHER THAN THERAPY,ANALGESIC
PREDNISOLONE SODIUM SULFOBENZOATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PREDNISONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PREGABALIN,MEDICATION OTHER THAN THERAPY,ANALGESIC
PREGABALIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRIMAXIN                           /00820501/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRINZIDE                           /00977901/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PRITOR                             /01506701/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROCAINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROCET                             /01554201/,MEDICATION OTHER THAN THERAPY,ANALGESIC
PROCHLORPERAZINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROCHLORPERAZINE MALEATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROCTOSEDYL                        /01569101/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROCTOSEDYL                        /01681301/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROGESTERONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROMETHAZINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROMETHAZINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROPACET,MEDICATION OTHER THAN THERAPY,ANALGESIC
PROPACET,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROPOFOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROPOLIS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROPRANOLOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PROTHIPENDYL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PSYLLIUM HYDROPHILIC MUCILLOID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PYRIDOXINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
PYRIDOXINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
QUETIAPINE FUMARATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
QUINAPRIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
QUININE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RABEPRAZOLE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RAMIPRIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RANITIDINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RANITIDINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RED BLOOD CELLS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
REMIFENTANIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
REPAGLINIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RESPAIRE-SR-120,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RINGER                             /01179901/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RISEDRONATE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
RISPERIDONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ROSIGLITAZONE MALEATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ROSUVASTATIN CALCIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SACCHAROMYCES BOULARDII,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SALACTOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SALBUTAMOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SALICYLIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SALMETEROL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SALUTEC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SENNA ALEXANDRINA LEAF,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SENNOSIDE A+B,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SENOKOT-S,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SERENOA REPENS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SERETIDE                           /01420901/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SERTRALINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SHARK CARTILAGE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SILYBUM MARIANUM,MEDICATION OTHER THAN THERAPY,ANALGESIC
SILYBUM MARIANUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SIMETICONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SIMVASTATIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SITAGLIPTIN PHOSPHATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SMECTITE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SODIUM BICARBONATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SODIUM CHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SODIUM CHLORIDE COMPOUND INJECTION,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SODIUM FOLINATE,ANTI-TUMOR THERAPY,CHEMOTHERAPY
SODIUM PHOSPHATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SODIUM PHOSPHATE MONOBASIC (ANHYDRATE),MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SODIUM PICOSULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SOLUTIONS AFFECTING THE ELECTROLYTE BALANCE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SOLUTIONS FOR PARENTERAL NUTRITION,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SOTALOL HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SPASFON                            /00765801/,MEDICATION OTHER THAN THERAPY,ANALGESIC
SPASFON                            /00765801/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SPEKTRAMOX                         /02043401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SPIRONOLACTONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
STEROFUNDIN                        /00177701/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
"STOMATOLOGICALS, MOUTH PREPARATIONS",MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
STRUCTOKABIVEN                     /05981101/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
STRUCTOKABIVEN                     /05981201/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SUCRALFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SULFACETAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SULPERAZON                         /00883901/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SULPIRIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SULTAMICILLIN TOSILATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SUXAMETHONIUM CHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SWISS-KAL EFF,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
SYNGEL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TAMSULOSIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TAMSULOSIN HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TAZOBACTAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TEGAFUR,ANTI-TUMOR THERAPY,CHEMOTHERAPY
TELMISARTAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TEMAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TERAZOSIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TESTOSTERONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TETRACOSACTIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TETRAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
THIAMINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
THIAMINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
THIETHYLPERAZINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
THIETHYLPERAZINE MALEATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIAPRIDE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIAPROFENIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TICLOPIDINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIMENTIN                           /00703201/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIMOLOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIOTROPIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIOTROPIUM BROMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TIZANIDINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TOBRADEX,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TOCOPHERYL ACETATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TOLPERISONE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
TORASEMIDE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRAMADOL,MEDICATION OTHER THAN THERAPY,ANALGESIC
TRAMADOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRAMADOL HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
TRAMADOL HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRAVOPROST,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRAZODONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRAZODONE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRIAMCINOLONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRIAMCINOLONE ACETONIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRILAC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRIMEBUTINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRIMEBUTINE MALEATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRIMECAINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
TRIMECAINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TRIMEPERIDINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
TROPISETRON HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TUSSIN DM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
TYLOX                              /00446701/,MEDICATION OTHER THAN THERAPY,ANALGESIC
TYLOX                              /00446701/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ULTRACET,MEDICATION OTHER THAN THERAPY,ANALGESIC
URACIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
UREA,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
URINARY ANTISPASMODICS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
URSODEOXYCHOLIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VALPIN 50-PB,MEDICATION OTHER THAN THERAPY,ANALGESIC
VALPROATE SEMISODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VALSARTAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VANCOMYCIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VANCOMYCIN HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VASERETIC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VENLAFAXINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VENLAFAXINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VERAPAMIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VICODIN,MEDICATION OTHER THAN THERAPY,ANALGESIC
VICODIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VINPOCETINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VITAMIN B1 AND B6,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VITAMIN PREPARATION COMPOUND,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VITAMIN-B-KOMPLEX STANDARD,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VITAMINS WITH MINERALS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
VORICONAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
WARFARIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
WARFARIN SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ZINC SULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ZOLEDRONIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ZOLPIDEM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ZOLPIDEM TARTRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ZOPICLONE,MEDICATION OTHER THAN THERAPY,ANALGESIC
ZOPICLONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ZOSEC                              /03494801/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
